Event Date / Time,Event Number,Type,Address,Latitude,Longitude
7/16/2024 19:14,2024-043151,BATTERY / NOT IN PROGRESS,"110 SOUTH BELT Belleville, IL",38.5024915,-89.9825183
7/16/2024 21:27,2024-043188,BATTERY / NOT IN PROGRESS,"10 ARABELLE DR Belleville, IL",38.4976179,-89.9680992
7/17/2024 19:14,2024-043402,BATTERY / NOT IN PROGRESS,"710 N 17TH Belleville, IL",38.6342463,-90.2029317
7/13/2024 9:19,2024-042264,BATTERY / NOT IN PROGRESS 24-03909,"1010 E MAIN Belleville, IL",38.5134069,-89.9701358
7/13/2024 11:30,2024-042286,BATTERY / NOT IN PROGRESS 24-03911,"4500 MEMORIAL DR Belleville, IL",38.5490423,-90.0214708
7/13/2024 14:24,2024-042321,BATTERY / NOT IN PROGRESS 24-03916,"710 N 17TH Belleville, IL",38.6342463,-90.2029317
7/16/2024 10:55,2024-042941,BATTERY / NOT IN PROGRESS 24-03977,"910 ROYAL HEIGHTS Belleville, IL",38.5442171,-90.0137165
7/14/2024 16:06,2024-042559,BURGLARY TO 24-03940 RESIDENCE/BUSINESS / NOT IN PROGRESS,"10 BEN LOUIS Belleville, IL",38.545672,-90.006255
7/19/2024 15:05,2024-043815,BURGLARY TO 24-04037 RESIDENCE/BUSINESS / NOT IN PROGRESS,"1310 ORCHARD LAKES Belleville, IL",38.4888618,-89.931394
7/16/2024 9:33,2024-042920,BURGLARY TO VEHICLE / IN PROGRESS,"5610 NORTH BELT Belleville, IL",38.5416071,-90.0319673
7/19/2024 23:15,2024-043942,BURGLARY TO VEHICLE / NOT IN2 4-04044 PROGRESS,"6910 W MAIN Belleville, IL",38.5564387,-90.04267
7/13/2024 13:30,2024-042310,CALL FOR INFORMATION,"4500 MEMORIAL DR Belleville, IL",38.5490423,-90.0214708
7/16/2024 9:51,2024-042925,CALL FOR INFORMATION,"1 CARLYLE AVE/GREEN MOUNT Belleville, IL",38.51473,-89.973456
7/16/2024 12:22,2024-042965,CALL FOR INFORMATION,"720 W MAIN Belleville, IL",,
7/16/2024 12:26,2024-042970,CALL FOR INFORMATION,"610 E MAIN Belleville, IL",38.513329299999995,-89.97714930214696
7/14/2024 19:32, 2024-042589 ,BURGLARY TO 24-03948 RESIDENCE/BUSINESS / NOT IN PROGRESS,"210 FREEDOM DR Belleville, IL",38.5389401,-90.0294151
7/15/2024 22:14,2024-042834 ,SUBJECT REMOVAL 24-03969,"10 HI-POINTE DR Belleville, IL",38.5749642,-90.0411463
7/15/2024 17:35,2024-042775 ,ALARM / BUSINESS,"110 IOWA AVE Belleville, IL",38.5175296,-89.9687283
7/15/2024 19:06,2024-042796 , DOG AT LARGE,"110 N DELAWARE Belleville, IL",,
7/16/2024 5:36,2024-042880 ,SUSPICIOUS / SUBJECT,"710 S ILLINOIS Belleville, IL",,
7/16/2024 7:40,2024-042898,  EXTERNAL SERVICE REQUEST,"1 N 28TH ST/W Belleville, IL",,
7/19/2024 23:49,2024-043951,  RUNAWAY JUVENILE 24-04045,"1910 RESERVE WALK Belleville, IL",38.489728,-89.974902
7/13/2024 9:15,2024-042263,CHECK WELL BEING,"1 W MAIN ST/LEBANON Belleville, IL",38.602699,-89.808192
7/13/2024 11:09,2024-042284,CHECK WELL BEING,"10 FOURSCORE DR Belleville, IL",,
7/13/2024 14:22,2024-042319,CHECK WELL BEING,"1610 MUREN BLVD Belleville, IL",38.5234454,-89.9668696
7/13/2024 14:52,2024-042328,CHECK WELL BEING,"4 Belleville Police Belleville, IL",38.513543,-89.994754
7/13/2024 21:33,2024-042416,CHECK WELL BEING,"10 REGENCY CT Belleville, IL",38.5436725,-90.036872
7/13/2024 22:55,2024-042435,CHECK WELL BEING,"1 S 97TH ST/W Belleville, IL",38.57951,-90.056404
7/14/2024 0:06,2024-042444,CHECK WELL BEING,"9610 W MAIN Belleville, IL",,
7/14/2024 2:43,2024-042460,CHECK WELL BEING,"6010 W MAIN Belleville, IL",,
7/14/2024 9:32,2024-042503,CHECK WELL BEING,"10 E C Belleville, IL",,
7/14/2024 11:16,2024-042515,CHECK WELL BEING,"10 Belleville Police Belleville, IL",38.513543,-89.994754
7/14/2024 13:38,2024-042534,CHECK WELL BEING,"710 W CLEVELAND Belleville, IL",38.5050315,-89.9933859
7/14/2024 15:35,2024-042555,CHECK WELL BEING,"4210 NORTH BELT Belleville, IL",38.5415429,-90.017693
7/14/2024 21:43,2024-042615,CHECK WELL BEING,"6010 W A Belleville, IL",38.5520305,-90.035889
7/14/2024 22:48,2024-042621,CHECK WELL BEING,"14 Belleville Police Belleville, IL",38.513543,-89.994754
7/15/2024 7:59,2024-042674,CHECK WELL BEING,"1 E STATE RT Belleville, IL",38.469697,-89.923295
7/15/2024 8:38,2024-042682,CHECK WELL BEING,"3810 NORTH PARK Belleville, IL",38.5480338,-90.0126785
7/15/2024 10:17,2024-042705,CHECK WELL BEING,"610 LAKE MEAD Belleville, IL",38.490313,-89.931208
7/15/2024 18:33,2024-042786,CHECK WELL BEING,"1 W STATE RT Belleville, IL",,
7/15/2024 19:03,2024-042794,CHECK WELL BEING,"10 SOUTH BELT Belleville, IL",38.5020943,-89.9848753
7/16/2024 12:22,2024-042967,CHECK WELL BEING,"10 CARLYLE PLAZA Belleville, IL",38.51666773660169,-89.95321164382385
7/16/2024 13:45,2024-043045,CHECK WELL BEING,"10 N 64TH Belleville, IL",38.5535434,-90.0386716
7/16/2024 19:07,2024-043149,CHECK WELL BEING,"10 S 53RD Belleville, IL",38.5455989,-90.0317877
7/18/2024 10:23,2024-043536,CHECK WELL BEING,"310 GETTYSBURG RD Belleville, IL",,
7/18/2024 14:33,2024-043578,CHECK WELL BEING,"410 N 38TH Belleville, IL",38.5375919,-90.0133895
7/18/2024 15:35,2024-043591,CHECK WELL BEING,"710 SCHEEL ST Belleville, IL",38.5207741,-89.9755874
7/19/2024 5:50,2024-043719,CHECK WELL BEING,"5710 NORTH BELT Belleville, IL",38.5416425,-90.033377
7/19/2024 8:18,2024-043738,CHECK WELL BEING,"5710 NORTH BELT Belleville, IL",38.5416425,-90.033377
7/19/2024 12:22,2024-043792,CHECK WELL BEING,"10 CHRISTOPHER DR Belleville, IL",,
7/15/2024 10:53,2024-042714,CHECK WELL BEING 24-03956,"510 WABASH AVE Belleville, IL",,
7/15/2024 13:33,2024-042746,CHECK WELL BEING 24-03959,"1310 UNION AVE Belleville, IL",,
7/19/2024 22:08,2024-043920,CHECK WELL BEING,"3010 W MAIN Belleville, IL",38.5287319,-90.0124454
7/17/2024 20:29,2024-043422,CHILD CUSTODY PROBLEMS,"1010 CARLYLE AVE Belleville, IL",38.5183485,-89.9465198
7/19/2024 11:19,2024-043780,CHILD CUSTODY PROBLEMS,"720 W MAIN Belleville, IL",,
7/19/2024 16:31,2024-043827,CHILD CUSTODY PROBLEMS,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/19/2024 16:45,2024-043834,CHILD CUSTODY PROBLEMS,"2010 CELEBRATION PARK Belleville, IL",38.48791,-89.982255
7/13/2024 13:16,2024-042305,CHILD LEFT UNATTENDED,"10 S 88TH Belleville, IL",,
7/15/2024 17:48,2024-042778,CHILD LEFT UNATTENDED,"510 N 4TH Belleville, IL",38.5192862,-89.9902058
7/16/2024 10:15,2024-042928,CHILD LEFT UNATTENDED,"2610 GREEN MOUNT Belleville, IL",38.520541,-89.924028
7/16/2024 17:07,2024-043125,CHILD LEFT UNATTENDED,"1810 CARLYLE AVE Belleville, IL",,
7/16/2024 23:04,2024-043208,CHILD LEFT UNATTENDED,"710 BRISTOW ST Belleville, IL",,
7/17/2024 8:35,2024-043266,CHILD LEFT UNATTENDED,"1210 FRANK SCOTT Belleville, IL",,
7/13/2024 11:45,2024-042291,CITIZEN ASSIST,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/13/2024 13:15,2024-042304,CITIZEN ASSIST,"8810 W MAIN Belleville, IL",38.5721919,-90.0539327
7/14/2024 11:44,2024-042520,CITIZEN ASSIST,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/14/2024 12:25,2024-042526,CITIZEN ASSIST,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/14/2024 17:36,2024-042569,CITIZEN ASSIST,"1710 SOUTH BELT Belleville, IL",,
7/15/2024 18:12,2024-042782,CITIZEN ASSIST,"720 W MAIN Belleville, IL",,
7/15/2024 18:39,2024-042787,CITIZEN ASSIST,"5410 W MAIN Belleville, IL",38.5466423,-90.0324872
7/15/2024 19:29,2024-042803,CITIZEN ASSIST,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/15/2024 19:31,2024-042806,CITIZEN ASSIST,"720 W MAIN Belleville, IL",,
7/16/2024 3:03,2024-042866,CITIZEN ASSIST,"720 W MAIN Belleville, IL",,
7/16/2024 14:16,2024-043062,CITIZEN ASSIST,"720 W MAIN Belleville, IL",,
7/16/2024 15:17,2024-043087,CITIZEN ASSIST,"1710 N CHARLES Belleville, IL",38.529352,-89.966699
7/17/2024 17:34,2024-043383,CITIZEN ASSIST,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/17/2024 17:36,2024-043384,CITIZEN ASSIST,"1710 N CHARLES Belleville, IL",,
7/18/2024 6:37,2024-043500,CITIZEN ASSIST,"2310 W MAIN Belleville, IL",38.522521,-90.009084
7/18/2024 13:52,2024-043568,CITIZEN ASSIST,"110 SOUTH BELT Belleville, IL",38.5024915,-89.9825183
7/18/2024 13:55,2024-043569,CITIZEN ASSIST,"10 BEN LOUIS Belleville, IL",,
7/19/2024 19:18,2024-043856,CIVIL MATTER,"610 SPRINGDALE DR Belleville, IL",38.544284,-90.0432987
7/13/2024 4:45,2024-042227,DAMAGE TO PROPERTY,"210 N 38TH Belleville, IL",38.5365145,-90.0151702
7/16/2024 13:45,2024-043046,DAMAGE TO PROPERTY,"310 W MONROE Belleville, IL",,
7/17/2024 6:12,2024-043245,DAMAGE TO PROPERTY,"10 BEDFORD DR Belleville, IL",,
7/17/2024 12:14,2024-043315,DAMAGE TO PROPERTY,"310 S DOUGLAS Belleville, IL",,
7/17/2024 22:58,2024-043452,DAMAGE TO PROPERTY,"1 CENTREVILLE AVE/S 6TH Belleville, IL",38.51473,-89.973456
7/18/2024 19:45,2024-043644,DAMAGE TO PROPERTY,"3910 SOUTH PARK Belleville, IL",38.5464336,-90.0147359
7/19/2024 0:04,2024-043695,DAMAGE TO PROPERTY,"1810 N CHURCH Belleville, IL",,
7/14/2024 7:40,2024-042484,DAMAGE TO PROPERTY 24-03933,"6410 W MAIN Belleville, IL",,
7/16/2024 11:41,2024-042956,DAMAGE TO PROPERTY 24-03979,"10 PHEASANTWOOD DR Belleville, IL",38.5480804,-90.0076469
7/14/2024 18:22,2024-042574,DAMAGE TO VEHICLE 24-03945,"410 N 4TH Belleville, IL",38.5181218,-89.989916
7/18/2024 15:37,2024-043593,DAMAGE TO VEHICLE 24-04019,"4500 MEMORIAL DR Belleville, IL",38.5490423,-90.0214708
